id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
28843652,Apartment,217501892,Dagmawit,,"Brightwood Park, Crestwood, Petworth",38.93996,-77.02408,Entire home/apt,125,28,0,,,2,0
28863314,Pro Cleaned Mid Century Hollywood Glam in Redbrick Row Home.,46630199,Home Sweet City,,"Shaw, Logan Circle",38.91328,-77.0179,Entire home/apt,273,3,41,4/5/2021,1.36,55,133
28865346,Cute + Cozy 1 bedroom -Near U St & CoHeight metro!,217630657,Grant,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.9227,-77.0313,Entire home/apt,135,2,58,4/10/2021,1.9,1,356
28867063,Biltmore DC luxury in Kalorama Ex-Large apartment,87819758,Linda,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.9229,-77.0432,Entire home/apt,360,5,2,4/7/2021,1.62,1,345
28869341,"Beautiful private space, an office & outdoor patio",19628998,Jesse,,"Union Station, Stanton Park, Kingman Park",38.89798,-76.9872,Entire home/apt,68,4,111,4/9/2021,3.57,1,0
28870488,The Wright House in Washington's Trendy Mount Vernon Square,20129312,Lovelyn & Sean,,"Shaw, Logan Circle",38.90612,-77.01783,Entire home/apt,159,2,42,3/13/2020,1.35,2,22
28891722,"𓃡Pets𓃠Welcome★Captiol Hill★48""RokuTV★WalkScore98",487806,Stay BnB DC,,"Capitol Hill, Lincoln Park",38.88258,-76.99441,Entire home/apt,111,1,50,4/9/2021,1.62,31,31
28891864,"𓃡Pets𓃠Welcome★Captiol Hill★48""RokuTV★WalkScore98",487806,Stay BnB DC,,"Capitol Hill, Lincoln Park",38.88181,-76.99649,Entire home/apt,111,1,42,4/1/2021,1.36,31,37
28895568,The Jacqueline,2761762,Russell,,"Capitol Hill, Lincoln Park",38.8912,-76.9919,Entire home/apt,68,2,113,4/16/2021,3.69,2,15
28897052,"Hosted by Rajaa
This is newly remodeled basement",217836431,Rajae,,"Capitol View, Marshall Heights, Benning Heights",38.88937,-76.93542,Private room,45,1,22,3/14/2020,0.71,2,0
